"field","n_missing","n_unique"
"case",0,122
"project",0,1
"disease_type",0,1
"primary_site",0,1
"days_to_diagnosis",0,1
"created_datetime",0,122
"treatments",0,122
"last_known_disease_status",0,1
"tissue_or_organ_of_origin",0,1
"days_to_last_follow_up",0,119
"age_at_diagnosis",0,118
"primary_diagnosis",0,1
"updated_datetime",0,1
"year_of_diagnosis",0,9
"state",0,1
"diagnosis_is_primary_disease",0,1
"days_to_last_known_disease_status",0,1
"days_to_recurrence",0,1
"morphology",0,1
"wilms_tumor_histologic_subtype",0,2
"classification_of_tumor",0,1
"diagnosis_id",0,122
"icd_10_code",0,1
"cog_renal_stage",0,1
"site_of_resection_or_biopsy",0,1
"tumor_grade",0,1
"progression_or_recurrence",0,1
"submitter_sample_ids",0,122
"race",0,4
"ethnicity",0,3
"vital_status",0,2
"demographic_id",0,122
"age_is_obfuscated",0,1
"age_at_index",0,14
"days_to_birth",0,118
"sex_at_birth",0,2
"os_time",0,119
"os_event",0,2
"age_years",0,118
"pediatric_kidney_staging",13,4
"cause_of_death",72,3
"days_to_death",72,49
