"feature","weight"
"SIM2",-1.1159
"LBX1",-0.8208
"PAX3",-0.8068
"DMRT2",-0.8068
"IGF2BP3",-0.8056
"EYA2",-0.7866
"WIF1",-0.7465
"MEOX2",-0.7432
"GAD1",-0.7403
"SP5",-0.7185
"KLK6",0.7107
"DSC2",0.7094
"NAV3",-0.7083
"TMEFF2",-0.6868
"NETO1",0.682
"GPR50",0.6769
"GAS2",-0.6663
"TGFB2",-0.6657
"NKD2",-0.6444
"VSNL1",-0.6155
"PLPPR4",0.6085
"PRAC2",-0.6054
"IRX5",-0.6053
"NKX3-2",-0.6052
"PITX2",-0.6032
"CPEB1",0.5918
"GRID2",-0.5878
"EMB",0.5842
"SYT14",0.5838
"HOXB13",-0.5832
"C19orf81",0.5825
"HOXA13",-0.5817
"NME8",-0.5798
"NEFM",-0.5785
"KLK7",0.5755
"AP3B2",0.5746
"HOXD1",0.5743
"TMBIM1",0.5722
"EBF3",-0.571
"MYH14",0.5707
"SLC6A11",0.5668
"PRAC1",-0.5651
"ARAP2",0.562
"KCNH5",-0.5608
"KCND3",0.5601
"MECOM",-0.559
"POU3F3",-0.5549
"DCDC2C",-0.5526
"KLK5",0.539
"OBP2A",0.5388
"CFAP65",0.536
"ADCYAP1",-0.5346
"SLC26A7",-0.5327
"MGAM",0.5323
"ALKAL1",0.5321
"SALL3",-0.5314
"KANK4",-0.5303
"KCNJ15",-0.5281
"HPSE2",-0.5268
"BMP3",-0.5267
"NOTUM",-0.5232
"PDYN",0.523
"PLA2G4F",-0.5229
"NRG3",0.5226
"POU2AF1",0.5213
"OGN",-0.5205
"PIFO",0.5201
"WNT6",0.5193
"XDH",-0.5174
"CENPVL3",0.5164
"SOX8",-0.5082
"ZIC2",-0.5078
"CCN6",0.5049
"ATP12A",-0.5019
"HSPB8",0.5018
"PRSS16",0.5017
"DKK1",-0.4989
"CD19",0.4947
"STAT4",0.4929
"TRPM5",0.4913
"EMX1",-0.4883
"SYT3",0.4877
"GDF7",-0.4871
"PWWP3B",0.4869
"IGF2BP1",-0.4865
"EDN3",-0.4857
"RASSF6",-0.484
"SBK2",0.48
"PON1",0.4769
"FLG",0.4764
"PRR15",-0.4746
"WSCD2",0.4744
"NEFL",-0.4743
"LMO2",-0.4731
"EYA4",-0.4718
"CYP4F22",0.4707
"LGR5",-0.4692
"PLAAT3",0.469
"HOXD12",-0.4683
"GATA3",-0.4682
