"feature","weight","chr","pos","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Group"
"cg23286646",-0.9502,"chr21",38120350,"Island","SIM2","Body"
"cg00495860",-0.8214,"chr21",38065524,"Island","",""
"cg08189615",-0.7828,"chr2",219157119,"Island","PNKD;TMBIM1","Body;5'UTR"
"cg10445315",-0.7225,"chr21",38066047,"Island","",""
"cg15316660",-0.7199,"chr21",38119920,"Island","SIM2","Body"
"cg05308504",-0.7123,"chr16",30573013,"Island","",""
"cg00301396",-0.712,"chr16",30572929,"Island","",""
"cg01853561",-0.6958,"chr21",38120466,"Island","SIM2","3'UTR"
"cg00593773",0.6958,"chr18",77336201,"Island","",""
"cg09808235",0.6837,"chr1",2542588,"OpenSea","MMEL1","Body"
"cg14543508",0.6788,"chr9",123631308,"Island","PHF19","Body"
"cg17898329",-0.6781,"chr4",154713496,"N_Shore","",""
"cg26198107",0.6691,"chr18",77336216,"Island","",""
"cg10455938",-0.6624,"chr22",40058150,"Island","CACNA1I;CACNA1I","Body;Body"
"cg25903779",-0.6618,"chr15",68128025,"Island","",""
"cg25903497",-0.6608,"chr2",219157103,"Island","PNKD;TMBIM1","Body;5'UTR"
"cg04172166",0.6562,"chr16",27052337,"OpenSea","",""
"cg12511214",-0.6553,"chr22",40058293,"Island","CACNA1I;CACNA1I","Body;Body"
"cg25940392",-0.6522,"chr21",38064699,"N_Shore","",""
"cg09284949",0.6474,"chr19",51190179,"S_Shore","SHANK1","Body"
"cg04640675",-0.6346,"chr16",30572739,"Island","",""
"cg17727929",-0.6257,"chr21",38069338,"Island","",""
"cg06167221",0.6242,"chr18",77336130,"Island","",""
"cg02730156",-0.6201,"chr21",38069950,"Island","",""
"cg07675998",0.6197,"chr11",64268315,"OpenSea","",""
"cg06268327",-0.6184,"chr11",63885740,"Island","FLRT1;MACROD1","Body;Body"
"cg04674428",0.6145,"chr16",58956301,"OpenSea","",""
"cg11452571",0.6115,"chr19",43979464,"Island","PHLDB3","3'UTR"
"cg22274813",-0.6107,"chr21",38067101,"N_Shore","",""
"cg27649239",-0.6106,"chr15",68120393,"Island","LBXCOR1","Body"
"cg01252526",0.6097,"chr16",711033,"N_Shore","WDR90","Body"
"cg25185173",-0.6094,"chr4",154712580,"Island","",""
"cg09354241",-0.6089,"chr4",13540850,"N_Shelf","",""
"cg26144458",-0.6085,"chr21",38070148,"Island","",""
"cg21222178",0.6055,"chr19",17759409,"Island","UNC13A","Body"
"cg10095954",0.6025,"chr17",3848324,"Island","ATP2A3;ATP2A3;ATP2A3;ATP2A3;ATP2A3;ATP2A3;ATP2A3","Body;Body;Body;Body;Body;Body;Body"
"cg22459630",-0.5995,"chr15",68121028,"Island","LBXCOR1","Body"
"cg07676859",-0.5989,"chr20",23015932,"Island","SSTR4","TSS200"
"cg10160614",0.5983,"chr2",239544973,"S_Shelf","",""
"cg04248271",-0.5973,"chr5",158524404,"Island","EBF1","Body"
"cg02057305",0.5946,"chr16",83974834,"OpenSea","",""
"cg02852791",0.5911,"chr16",710674,"N_Shore","WDR90","Body"
"cg00950431",0.5901,"chr1",158319083,"OpenSea","",""
"cg02657760",-0.5899,"chr2",219157083,"Island","PNKD;TMBIM1","Body;5'UTR"
"cg08777316",-0.589,"chr5",158531511,"Island","",""
"cg06368184",-0.5888,"chr21",38069416,"Island","",""
"cg02746725",-0.5862,"chr2",177054306,"Island","HOXD1","Body"
"cg14849559",-0.5853,"chr2",219157356,"Island","TMBIM1;PNKD","TSS200;Body"
"cg16026813",0.5829,"chr10",103245720,"OpenSea","BTRC;BTRC","Body;Body"
"cg09408917",-0.5811,"chr21",38069321,"Island","",""
"cg03957898",0.5783,"chr1",152333423,"OpenSea","FLG2","TSS1500"
"cg18197392",-0.5764,"chr20",23015908,"Island","SSTR4","TSS200"
"cg27258551",0.5733,"chr16",23197740,"Island","SCNN1G","Body"
"cg05290058",-0.5722,"chr11",2890551,"Island","KCNQ1DN","TSS1500"
"cg06003388",0.5713,"chr16",59363443,"OpenSea","",""
"cg13613965",0.5703,"chr9",130981287,"Island","DNM1;DNM1","Body;Body"
"cg24112562",-0.5694,"chr21",38070041,"Island","",""
"cg14210607",-0.569,"chr15",68128175,"Island","",""
"cg16945186",-0.569,"chr12",115103960,"Island","",""
"cg11238995",0.5648,"chr3",63295625,"OpenSea","SYNPR","Body"
"cg05688136",0.5615,"chr2",228882340,"OpenSea","SPHKAP;SPHKAP","Body;Body"
"cg07592963",-0.5611,"chr11",2890649,"Island","KCNQ1DN","TSS1500"
"cg25763036",-0.5561,"chr4",13540946,"N_Shelf","",""
"cg26864036",0.5515,"chr16",83974716,"OpenSea","",""
"cg04264908",0.551,"chr17",35303330,"Island","",""
"cg13951074",-0.5502,"chr9",1045628,"Island","",""
"cg04120686",-0.5494,"chr3",169384410,"N_Shore","",""
"cg10863922",0.5494,"chr6",2892150,"Island","SERPINB9","Body"
"cg06202276",-0.5493,"chr4",154713333,"N_Shore","",""
"cg14376679",0.549,"chr9",123631254,"Island","PHF19","Body"
"cg23896164",-0.5483,"chr21",38120518,"Island","SIM2","3'UTR"
"cg20748533",0.5478,"chr19",51189975,"Island","SHANK1","Body"
"cg20291855",-0.5474,"chr4",13524143,"Island","",""
"cg02099572",0.5465,"chr13",110885345,"OpenSea","COL4A1","Body"
"cg05141014",0.5455,"chr5",59784203,"OpenSea","PART1;PART1;PDE4D;PART1","Body;Body;TSS1500;Body"
"cg24716664",0.545,"chr11",1006121,"N_Shore","AP2A2","Body"
"cg08454455",-0.5449,"chr16",54972371,"Island","",""
"cg04751811",-0.5445,"chr2",71192445,"Island","ATP6V1B1","3'UTR"
"cg24419324",-0.5429,"chr2",223172329,"S_Shore","",""
"cg19998368",-0.5422,"chr12",64784252,"Island","C12orf56;C12orf56","1stExon;1stExon"
"cg08555552",-0.5419,"chr4",13536409,"N_Shore","",""
"cg07139509",-0.5418,"chr14",70038717,"Island","C14orf162","TSS1500"
"cg08755784",0.5402,"chr16",27829728,"OpenSea","GSG1L;GSG1L","Body;Body"
"cg05638439",0.5401,"chr16",711235,"Island","WDR90","Body"
"cg18091469",0.5391,"chr2",8724060,"Island","",""
"cg01047631",-0.5384,"chr16",54972573,"Island","",""
"cg22340475",0.5368,"chr8",55529845,"N_Shelf","RP1","5'UTR"
"cg00790098",-0.5361,"chr2",223167400,"Island","CCDC140","5'UTR"
"cg09721739",0.536,"chr3",139396924,"S_Shore","NMNAT3","TSS200"
"cg20749005",0.536,"chr8",140950007,"OpenSea","TRAPPC9;TRAPPC9","Body;Body"
"cg23920953",-0.534,"chr14",70038505,"Island","C14orf162","TSS1500"
"cg00459623",-0.5337,"chr2",176936581,"Island","",""
"cg24181266",0.5332,"chr19",11354132,"Island","DOCK6","Body"
"cg04593780",0.533,"chr16",3150150,"OpenSea","",""
"cg21292909",0.5327,"chr19",50059937,"Island","NOSIP","Body"
"cg24428372",0.5325,"chr2",314850,"Island","",""
"cg08036309",-0.5321,"chr4",13536991,"N_Shore","",""
"cg00381755",-0.532,"chr16",30572815,"Island","",""
"cg08529345",-0.5313,"chr16",54971700,"Island","",""
"cg14688579",-0.5311,"chr2",223168453,"N_Shore","CCDC140","5'UTR"
