"feature","weight","chr","pos","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Group"
"cg13782274",0.5721,"chr20",62097681,"Island","KCNQ2;KCNQ2;KCNQ2;KCNQ2;KCNQ2","Body;Body;Body;Body;Body"
"cg24258529",0.5603,"chr4",1570685,"Island","",""
"cg10243459",0.5475,"chr7",157584081,"N_Shelf","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg01239704",0.5433,"chr7",157605569,"OpenSea","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg08725167",0.5253,"chr7",157606738,"OpenSea","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg01518225",0.5198,"chr8",1431308,"Island","",""
"cg06313241",0.5085,"chr1",3351504,"Island","PRDM16;PRDM16","3'UTR;3'UTR"
"cg17341326",0.4973,"chr19",3817039,"N_Shelf","ZFR2","Body"
"cg03294704",0.4926,"chr10",132365913,"Island","",""
"cg26490671",0.4922,"chr7",157670732,"S_Shore","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg15966877",0.488,"chr19",17758119,"Island","UNC13A","Body"
"cg03371778",0.4869,"chr10",132365775,"Island","",""
"cg11770080",-0.4866,"chr5",78408179,"OpenSea","BHMT","Body"
"cg00355678",0.4803,"chr19",1483413,"Island","PCSK4","Body"
"cg11423130",0.4762,"chr13",112630656,"Island","",""
"cg09238332",0.4749,"chr16",89070903,"Island","",""
"cg08391709",0.4699,"chr19",54395821,"S_Shelf","PRKCG","Body"
"cg12444736",0.4688,"chr13",112630712,"Island","",""
"cg10622019",0.4677,"chr1",4221485,"Island","",""
"cg08725319",0.4674,"chr7",157334751,"OpenSea","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg17022362",0.4673,"chr20",62084833,"Island","KCNQ2;KCNQ2;KCNQ2;KCNQ2;KCNQ2","Body;Body;Body;Body;Body"
"cg08822897",0.465,"chr11",64258103,"OpenSea","",""
"cg21222178",0.4617,"chr19",17759409,"Island","UNC13A","Body"
"cg01773689",0.4602,"chr1",3351615,"Island","PRDM16;PRDM16","3'UTR;3'UTR"
"cg22608082",0.4602,"chr7",156832864,"Island","",""
"cg18280699",0.4599,"chr11",1278967,"OpenSea","MUC5B","Body"
"cg05057720",-0.4599,"chr14",38724675,"Island","CLEC14A","1stExon"
"cg07698638",0.4599,"chr7",150746232,"Island","ACCN3;ACCN3;ACCN3","1stExon;1stExon;1stExon"
"cg00214250",0.4573,"chr7",157711173,"OpenSea","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg01984854",0.4552,"chr16",85879072,"Island","",""
"cg17696563",0.4498,"chr2",242756362,"Island","NEU4;NEU4;NEU4;NEU4;NEU4","Body;Body;Body;Body;Body"
"cg16035036",0.4494,"chr5",1363899,"OpenSea","",""
"cg18423210",0.4487,"chr19",17756507,"N_Shore","UNC13A","Body"
"cg08293242",0.4447,"chr13",112997541,"Island","",""
"cg10305311",-0.4432,"chr13",96204873,"Island","CLDN10;CLDN10;CLDN10","TSS200;Body;Body"
"cg25745379",0.4414,"chr13",27333481,"N_Shore","GPR12","Body"
"cg12708841",0.4373,"chr18",76463655,"Island","",""
"cg17473898",0.4364,"chr19",836679,"Island","",""
"cg21401095",0.4358,"chr1",3078839,"N_Shelf","PRDM16;PRDM16","Body;Body"
"cg02426611",0.4336,"chr16",87681276,"S_Shelf","JPH3","Body"
"cg27104173",0.4334,"chr7",157744316,"OpenSea","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg07425646",0.4326,"chr1",4221616,"Island","",""
"cg27532955",0.4314,"chr12",132956674,"Island","",""
"cg02281662",0.4314,"chr14",104643907,"Island","KIF26A","Body"
"cg03646096",0.4281,"chr8",852352,"S_Shore","",""
"cg20500230",0.4246,"chr11",70289558,"OpenSea","",""
"cg11068784",0.4243,"chr4",2277713,"Island","ZFYVE28","Body"
"cg02772121",0.424,"chr6",30130881,"OpenSea","TRIM15","TSS200"
"cg25518571",0.4219,"chr5",1286042,"N_Shore","TERT;TERT","Body;Body"
"cg05982460",0.4205,"chr16",3211519,"S_Shelf","",""
"cg04704198",0.42,"chr11",70289583,"OpenSea","",""
"cg16577724",0.4191,"chr5",428068,"OpenSea","AHRR","Body"
"cg27364205",0.418,"chr19",1495210,"Island","REEP6","Body"
"cg08750504",-0.4173,"chr2",172946193,"Island","",""
"cg27535410",0.4167,"chr19",846354,"Island","PRTN3","Body"
"cg10786876",0.4162,"chr20",62121918,"Island","EEF1A2","Body"
"cg20399616",-0.4159,"chr12",25055967,"Island","BCAT1","Body"
"cg18058747",-0.4151,"chr5",78408253,"OpenSea","BHMT","Body"
"cg18686665",0.4148,"chr2",629121,"Island","",""
"cg06470855",0.4147,"chr13",112997365,"Island","",""
"cg01232511",0.4147,"chr16",2867446,"Island","PRSS21;PRSS21;PRSS21","Body;Body;Body"
"cg16783204",0.4147,"chr16",89119371,"Island","",""
"cg21725878",0.4126,"chr12",132956918,"Island","",""
"cg06518327",0.4123,"chr7",157261163,"Island","",""
"cg14795528",0.4115,"chr7",157451260,"N_Shelf","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg24751154",0.4112,"chr5",3191887,"S_Shelf","",""
"cg13090007",0.4087,"chr8",142981593,"N_Shelf","",""
"cg16792302",-0.4083,"chr2",172945058,"Island","MAP1D","Body"
"cg19661030",0.4065,"chr4",8429229,"N_Shore","ACOX3;ACOX3","5'UTR;5'UTR"
"cg08777812",0.4061,"chr11",70289549,"OpenSea","",""
"cg01477942",0.4056,"chr10",2978022,"OpenSea","",""
"cg22281638",0.4037,"chr2",219920345,"Island","IHH","Body"
"cg23239817",0.4029,"chr19",5334979,"N_Shore","PTPRS;PTPRS;PTPRS;PTPRS","5'UTR;5'UTR;5'UTR;5'UTR"
"cg08819022",0.4025,"chr22",18531447,"Island","",""
"cg03926906",0.4019,"chr16",88164581,"N_Shore","",""
"cg04522310",0.4018,"chr16",27378982,"OpenSea","",""
"cg24150662",0.4016,"chr1",2949673,"OpenSea","",""
