"probe","gene","meth_weight","expr_weight"
"cg09670128","KRT7",0.00183532130904496,-0.183996364474297
"cg22287064","MYO15B",-0.251769512891769,0.19140699505806
"cg07676859","SSTR4",-0.598905563354492,-0.00269253947772086
"cg08189615","TMBIM1",-0.78278660774231,0.572191298007965
"cg19403104","RCN3",0.217701584100723,-0.205953225493431
"cg15731056","C12orf56",-0.485141754150391,0.039404109120369
"cg18197392","SSTR4",-0.576390385627747,-0.00269253947772086
"cg13867865","C12orf56",-0.467457175254822,0.039404109120369
"cg23719318","GDF7",-0.29381138086319,-0.487092435359955
"cg16703956","SLC6A3",0.29952272772789,0.244541734457016
"cg12408990","RASGEF1C",-0.229790091514587,-0.129262119531631
"cg19295951","DUOX1",-0.00194644543807954,0.175524592399597
"cg10305311","CLDN10",0.0757273063063622,0.0342892073094845
"cg05057720","CLEC14A",-0.155488342046738,-0.0233462695032358
"cg01057656","CBLC",0.439363896846771,-0.0884761735796928
"cg18116154","NMNAT3",0.438412547111511,-0.362738996744156
"cg19998368","C12orf56",-0.542176425457001,0.039404109120369
"cg10147797","SDR42E1",-0.0536364130675793,-0.00948543287813663
"cg25032595","CLDN10",0.109135709702969,0.0342892073094845
"cg14904662","ANK1",-0.323590517044067,-0.149358674883842
"cg18373354","ST14",-0.303935199975967,0.0520065613090992
"cg26477573","EPHX3",0.069531686604023,0.255929619073868
"cg16352085","SAMD11",0.0545242615044117,0.0452740080654621
"cg09469554","CLDN10",0.069647915661335,0.0342892073094845
"cg24676071","ADCY1",-0.217650696635246,-0.228499814867973
"cg03314029","ZNF469",0.0678968578577042,-0.144764930009842
"cg16281276","CYB5R2",-0.0384375527501106,0.00199864688329399
"cg19978312","RASGEF1C",-0.230531588196754,-0.129262119531631
"cg05930881","GATA4",0.3249791264534,0.406899303197861
"cg08328777","DUOX1",0.000624064530711621,0.175524592399597
"cg14537533","KRT7",-0.0303976479917765,-0.183996364474297
"cg09761352","CRB3",0.132140383124352,-0.08064915984869
"cg18608389","SPATA18",-0.0665234103798866,-0.206691101193428
"cg05942459","GRIK2",0.0899549573659897,0.207981899380684
"cg05804220","DUOX1",-0.0199698004871607,0.175524592399597
"cg18669346","PXMP4",-0.340189635753632,0.318960249423981
"cg15545772","TDRD5",-0.141051083803177,0.0576677098870277
"cg08934846","CLDN6",0.16211111843586,-0.210279390215874
"cg01181817","MST1R",0.332696199417114,-0.151645436882973
"cg19808978","RCN3",0.202598422765732,-0.205953225493431
"cg17390350","GLI3",0.248369500041008,-0.0892151221632957
"cg08632680","ACCS",-0.174718767404556,0.0997936725616455
"cg14160518","SALL4",-0.394824713468552,0.266010463237762
"cg07160937","NMRAL1",-0.171617448329926,0.128518581390381
"cg14544666","RASGEF1C",-0.196155905723572,-0.129262119531631
"cg05378938","TDRD5",-0.145534440875053,0.0576677098870277
"cg13113115","TFCP2",0.264254868030548,-0.243433877825737
"cg02732252","CLDN6",0.16279561817646,-0.210279390215874
"cg14502484","SLC6A3",0.304305762052536,0.244541734457016
"cg18791121","CYB5R2",-0.199861913919449,0.00199864688329399
"cg18210732","FGF19",-0.309437662363052,-0.396858155727386
"cg18004756","GRHL2",0.00841272529214621,-0.287180930376053
"cg25336332","THRB",0.0171950943768024,-0.144874796271324
"cg26444528","PCDH17",-0.0809390991926193,-0.185819312930107
"cg12074025","ZNF671",0.0193396899849176,0.0668168663978577
"cg10363661","CPNE7",-0.374267488718033,0.0965401455760002
"cg11200965","ACCS",-0.135153532028198,0.0997936725616455
"cg26115633","FOXI2",-0.435758501291275,0.459479719400406
"cg27339437","PTER",0.211803659796715,-0.125449791550636
"cg12178578","HPDL",0.0251951571553946,-0.0485633797943592
"cg08431931","WBP2NL",-0.168540492653847,0.147795721888542
"cg07029873","ESRRG",-0.430692225694656,-0.1477060765028
"cg04087740","GPR27",-0.115932233631611,0.152959436178207
"cg21635870","GRIK2",0.0172156821936369,0.207981899380684
"cg17958384","TFCP2",0.23162180185318,-0.243433877825737
"cg07333715","ASCL2",0.229038774967194,-0.249864622950554
"cg19098763","ELAVL4",-0.052798930555582,-0.305130004882812
"cg14425863","USH1C",-0.210911855101585,0.289146989583969
"cg14672084","PCDHGA4",-0.0788899287581444,-0.105134986341
"cg14672084","PCDHGA12",-0.0788899287581444,0.0204145982861519
"cg14672084","PCDHGA11",-0.0788899287581444,0.115237198770046
"cg14672084","PCDHGA9",-0.0788899287581444,0.0736255347728729
"cg14672084","PCDHGA1",-0.0788899287581444,-0.149534732103348
"cg14672084","PCDHGB1",-0.0788899287581444,-0.108566403388977
"cg14672084","PCDHGB6",-0.0788899287581444,0.172925367951393
"cg14672084","PCDHGC3",-0.0788899287581444,-0.0914643481373787
"cg14672084","PCDHGB3",-0.0788899287581444,-0.0428781770169735
"cg14672084","PCDHGB7",-0.0788899287581444,-0.0607070252299309
"cg14672084","PCDHGA6",-0.0788899287581444,0.0668046176433563
"cg14672084","PCDHGA8",-0.0788899287581444,-0.0331630483269691
"cg14672084","PCDHGA10",-0.0788899287581444,0.162658289074898
"cg14672084","PCDHGA5",-0.0788899287581444,0.0410476922988892
"cg14672084","PCDHGA3",-0.0788899287581444,-0.115089640021324
"cg14672084","PCDHGA2",-0.0788899287581444,-0.0863183066248894
"cg14672084","PCDHGA7",-0.0788899287581444,0.0100882649421692
"cg14672084","PCDHGB2",-0.0788899287581444,-0.126638650894165
"cg14672084","PCDHGB5",-0.0788899287581444,0.0375397317111492
"cg04571941","TNRC18",0.162422254681587,-0.210334852337837
"cg14181576","FGR",-0.250524610280991,0.0727255567908287
"cg14130459","SLC15A3",-0.514905333518982,0.221016466617584
"cg15071854","HPDL",0.0800409391522408,-0.0485633797943592
"cg22399133","CRYGD",-0.195728212594986,0.0523300804197788
"cg16556145","CLDN10",0.14950880408287,0.0342892073094845
"cg15162392","QPCT",-0.00207699951715767,0.0832981914281845
"cg18552861","GDF7",-0.228878915309906,-0.487092435359955
"cg06962944","TOX2",0.135838180780411,-0.124436743557453
"cg13080565","GRIK2",0.0458803214132786,0.207981899380684
"cg13722431","SERPINB9",0.222661837935448,-0.288680523633957
"cg24402300","EPS8L1",0.439344763755798,0.336448907852173
"cg23462514","RNF212",0.0514601282775402,0.139634758234024
"cg25903497","TMBIM1",-0.660776019096375,0.572191298007965
"cg04959815","CYB5R2",-0.170803174376488,0.00199864688329399
"cg09450024","EXOC3L2",0.523780703544617,0.0864109918475151
"cg11377136","PKDREJ",-0.212182745337486,-0.0687278211116791
"cg16319691","USH1C",-0.25494459271431,0.289146989583969
"cg15618978","TRIM59",0.0138268042355776,-0.021328816190362
"cg21790626","ZNF154",0.0152406878769398,0.0456952899694443
"cg21941030","RCN3",0.198574364185333,-0.205953225493431
"cg22442454","IRF6",0.304780006408691,0.0361248552799225
"cg00323305","THRB",-0.0505231730639935,-0.144874796271324
"cg19016289","TFCP2",0.204705744981766,-0.243433877825737
"cg22328208","TSPYL5",0.213662073016167,-0.120991639792919
"cg22534145","SSTR4",-0.485529392957687,-0.00269253947772086
"cg08296680","SLC16A3",-0.0884840041399002,-0.0875979214906693
"cg07976644","TTC22",-0.077007956802845,0.170301854610443
"cg18129748","MST1R",0.298063427209854,-0.151645436882973
"cg14029489","PRPH",0.0324678383767605,-0.343317270278931
"cg10583297","DUOX1",-0.020125150680542,0.175524592399597
"cg26732615","CILP2",0.197677224874496,0.120367623865604
"cg26732615","YJEFN3",0.197677224874496,0.0578776523470879
"cg05065507","TACSTD2",-0.0494113303720951,-0.101311214268208
"cg02694427","HOXD12",0.354367166757584,-0.468268901109695
"cg00511596","PTER",0.200809195637703,-0.125449791550636
"cg13912673","C9orf64",-0.15722519159317,0.211593121290207
"cg16642284","FOXI2",-0.406331390142441,0.459479719400406
"cg06310816","GLI3",0.216759145259857,-0.0892151221632957
"cg12034118","IRF6",0.292641669511795,0.0361248552799225
"cg21868134","HPDL",0.112495467066765,-0.0485633797943592
"cg26051413","ASCL2",0.164165496826172,-0.249864622950554
"cg12287025","ACCS",-0.144259944558144,0.0997936725616455
"cg01963134","CPNE8",0.148716881871223,0.225152358412743
"cg14849559","TMBIM1",-0.585331916809082,0.572191298007965
"cg01832036","DLX4",0.0271750725805759,0.133328095078468
"cg18249625","TNFRSF10A",-0.223222374916077,0.209732860326767
"cg17935217","CLIC6",0.0797656029462814,-0.051486000418663
"cg20392585","TFCP2",0.261361420154572,-0.243433877825737
"cg19592277","GPR75",-0.107693299651146,0.0809555649757385
"cg02595832","FOXI2",-0.402594476938248,0.459479719400406
"cg13959647","PSMD5",0.154482811689377,-0.0805486142635345
"cg19867917","COLEC11",-0.0729785487055779,-0.148640364408493
"cg04603730","CLDN10",0.0615690387785435,0.0342892073094845
"cg01637175","KCNJ12",0.302769780158997,0.117138527333736
"cg14482313","KRT7",-0.0270180162042379,-0.183996364474297
"cg06532379","ALPK3",-0.0758038461208344,0.0554591827094555
"cg24720583","BCL6B",0.179786965250969,-0.123440518975258
"cg27549720","HTR6",0.286577045917511,-0.0757338106632233
"cg10496082","DUOX1",-0.019403787329793,0.175524592399597
"cg09068492","CALCA",-0.386340916156769,0.272942692041397
"cg15336765","AQP5",-0.0702098608016968,0.00182810716796666
"cg17826168","CRB3",0.172233611345291,-0.08064915984869
"cg03744440","MYO15B",-0.186919927597046,0.19140699505806
"cg01456571","TNFRSF10D",-0.0856897905468941,-0.0303180888295174
"cg09509183","IRF6",0.320235550403595,0.0361248552799225
"cg07225966","CYP26C1",-0.038066741079092,-0.113300509750843
"cg03011535","TOX2",0.121086902916431,-0.124436743557453
"cg11751707","CYP1B1",-0.285084217786789,0.105326019227505
"cg11297723","TFCP2",0.253432214260101,-0.243433877825737
"cg03287940","THRB",0.000694355345331132,-0.144874796271324
"cg19714279","GBX2",0.173865228891373,-0.0789292380213737
"cg15834072","DCHS2",-0.337768524885178,0.0658039525151253
"cg00989853","IRF6",0.0631071329116821,0.0361248552799225
"cg16288089","TAC1",0.307334125041962,-0.0496072359383106
"cg07402669","APCDD1L",-0.197663277387619,-0.180514946579933
"cg16439198","CYP1B1",-0.247414380311966,0.105326019227505
"cg06371443","CASR",0.390105068683624,-0.0362028256058693
"cg09681167","GBX2",0.184359565377235,-0.0789292380213737
"cg04717802","WBP2NL",-0.14526079595089,0.147795721888542
"cg20600210","APCDD1L",-0.191028505563736,-0.180514946579933
"cg08345575","NMRAL1",-0.146551519632339,0.128518581390381
"cg08309809","TNFRSF10C",0.0382292978465557,-0.0284174624830484
"cg16529268","CBLC",0.356386721134186,-0.0884761735796928
"cg11928275","NFATC1",-0.107122428715229,-0.136440321803093
"cg07791866","MT1G",0.224785909056664,0.00877042580395937
"cg01817521","SLC17A9",-0.222579598426819,0.236414402723312
"cg08298757","FAM83F",-0.319583177566528,0.0630721598863602
"cg10598066","ACCS",-0.13325147330761,0.0997936725616455
"cg10528576","DLK1",-0.106453888118267,0.129985347390175
"cg27498387","ANK1",-0.222883999347687,-0.149358674883842
"cg24384244","ZNF662",-0.105212584137917,0.0934220105409622
"cg13459498","TOX2",0.110612347722054,-0.124436743557453
"cg01725531","TNFRSF10A",-0.165046080946922,0.209732860326767
"cg02449821","CPNE7",-0.279953479766846,0.0965401455760002
"cg18329187","CKB",0.0461168438196182,0.178736537694931
"cg02657760","TMBIM1",-0.589897811412811,0.572191298007965
"cg11413133","KCNJ12",0.259902000427246,0.117138527333736
"cg25160978","GDF7",-0.164104878902435,-0.487092435359955
"cg19250790","GNG7",0.116773933172226,0.122916236519814
"cg00641873","PTER",0.197121053934097,-0.125449791550636
"cg02199397","CLDN6",0.127297073602676,-0.210279390215874
"cg07625131","USH1C",-0.162416249513626,0.289146989583969
"cg27513574","SLC34A2",0.142264783382416,0.0401942320168018
"cg00040312","HOXC4",0.075996495783329,0.267649352550507
"cg00040312","HOXC5",0.075996495783329,0.254209518432617
"cg20060178","NLRX1",-0.0112404627725482,-0.0715622380375862
"cg19284039","ASCL2",0.152405798435211,-0.249864622950554
"cg19500479","GDF7",-0.21194814145565,-0.487092435359955
"cg07173972","SLC17A9",-0.21424300968647,0.236414402723312
"cg24093411","TCF7",-0.146231234073639,0.00555764278396964
"cg07802350","HOXD13",-0.167560994625092,-0.38521420955658
"cg13008978","TFCP2",0.231275364756584,-0.243433877825737
"cg27299406","HAAO",-0.00770540023222566,-0.156708791851997
"cg24031355","SPAG6",-0.197648406028748,0.327269226312637
"cg06341054","SPATA18",-0.0648073107004166,-0.206691101193428
"cg05899618","GDF7",-0.187893748283386,-0.487092435359955
"cg08134829","TMEM52",0.402725487947464,-0.2085330337286
"cg17231661","NLRX1",-0.0490405187010765,-0.0715622380375862
"cg06036912","CLDN6",0.12777741253376,-0.210279390215874
"cg24091371","XKR8",-0.0812700018286705,0.0827721506357193
"cg01510388","CYP7B1",-0.160364225506783,0.227238222956657
"cg07573727","VSX2",0.48206827044487,0.402485221624374
"cg00347563","GIPC2",-0.044014360755682,0.00233087688684464
"cg22438763","FOXD2",0.338548839092255,-0.130094766616821
"cg00199007","SLC17A9",-0.240980356931686,0.236414402723312
"cg12451530","GPR75",-0.054177425801754,0.0809555649757385
"cg06190677","RPL39L",-0.00382326100952923,-0.00871559698134661
"cg08882547","EXOC3L2",0.44660684466362,0.0864109918475151
"cg08561856","LYPD5",0.0983337387442589,0.198226675391197
"cg17438432","DUOX1",0.0293030291795731,0.175524592399597
"cg18247055","SPAG6",-0.157511994242668,0.327269226312637
"cg06779449","TOX2",0.122297197580338,-0.124436743557453
"cg19414598","DMC1",-0.122203104197979,0.00169651652686298
"cg00054210","CYP7B1",-0.167445287108421,0.227238222956657
"cg08328513","BHMT2",-0.0994584709405899,0.123754344880581
